# Historical sovereign rating actions from S&P, Moody's, Fitch.
# Long format: one row per (iso3, as_of) tuple. Each row carries the
# rating from the agency that acted on that date; the other agencies'
# columns are blank (the loader treats blank as "no change", so the
# consensus_num that day reflects whichever agency moved). Sourced
# from countryeconomy.com (free, public). Append rows or run
# scripts/fetch_agency_history.py to extend coverage.
#
# Date format: YYYY-MM-DD or YYYY-MM. Outlook values: Stable, Positive,
# Negative, Watch, Under Review, RD (restricted default), or blank.
iso3,as_of,sp,moodys,fitch,sp_outlook,moodys_outlook,fitch_outlook
# ── Ghana ────────────────────────────────────────────────────────────────
GHA,2015-10,B-,B3,B,Stable,Stable,Negative
GHA,2017-09,B-,B3,B,Stable,Stable,Stable
GHA,2018-08,B,B3,B,Stable,Positive,Stable
GHA,2020-04,B-,B3,B,Stable,Negative,Negative
GHA,2022-02,B-,Caa1,B-,Negative,Stable,Negative
GHA,2022-08,CCC+,Caa2,CCC,Negative,Negative,
GHA,2022-12,SD,Ca,RD,,,RD
GHA,2023-04,SD,Ca,RD,,,
GHA,2024-10,CCC+,Caa2,CCC,Stable,Positive,Stable
# ── Argentina ────────────────────────────────────────────────────────────
ARG,2016-05,B-,B3,B,Stable,Stable,Stable
ARG,2018-12,B,B2,B,Stable,Stable,Stable
ARG,2019-08,B-,B2,CCC,Negative,Negative,Negative
ARG,2019-09,CCC-,Caa2,CCC,Negative,Negative,Negative
ARG,2020-04,SD,Ca,RD,,,RD
ARG,2020-09,CCC+,Ca,CCC,Stable,Stable,Stable
ARG,2023-09,CCC-,Ca,CC,Negative,Stable,Negative
ARG,2024-09,CCC,Ca,CCC,Stable,Stable,Stable
# ── Lebanon ──────────────────────────────────────────────────────────────
LBN,2017-09,B-,B3,B-,Negative,Negative,Stable
LBN,2019-09,CCC,Caa2,CCC,Negative,Negative,Negative
LBN,2020-03,SD,Ca,RD,,,RD
LBN,2022-12,SD,C,RD,,,
LBN,2024-12,SD,C,RD,,,
# ── Russia ───────────────────────────────────────────────────────────────
RUS,2018-02,BBB-,Ba1,BBB-,Stable,Positive,Positive
RUS,2018-08,BBB-,Ba1,BBB-,Stable,Positive,Positive
RUS,2020-02,BBB,Baa3,BBB,Stable,Stable,Stable
RUS,2022-03,CCC-,Caa3,C,Negative,Negative,
RUS,2022-04,SD,Ca,RD,,,RD
RUS,2023-09,SD,Ca,RD,,,
# ── Egypt ────────────────────────────────────────────────────────────────
EGY,2018-05,B,B3,B,Stable,Positive,Stable
EGY,2020-04,B,B2,B+,Stable,Stable,Stable
EGY,2022-05,B,B2,B+,Stable,Negative,Negative
EGY,2022-12,B,B3,B,Negative,Stable,Negative
EGY,2023-10,B-,Caa1,B-,Stable,Negative,Negative
EGY,2024-04,B-,Caa1,B,Positive,Positive,Positive
EGY,2024-11,B-,Caa1,B,Positive,Stable,Positive
# ── Romania ──────────────────────────────────────────────────────────────
ROU,2003-09-24,,,BB,,,Positive
ROU,2003-12-11,,Ba3,,,,
ROU,2004-08-23,,,BB+,,,Positive
ROU,2004-09-14,BBB-,,,,,
ROU,2004-11-17,,,BBB,,,Stable
ROU,2005-03-02,,Ba1,,,Positive,
ROU,2006-08-31,,,BBB+,,,Stable
ROU,2006-10-06,,Baa3,,,Stable,
ROU,2008-01-31,,,BBB+,,,Negative
ROU,2008-11-09,,,BBB-,,,Negative
ROU,2010-02-02,,,BBB-,,,Stable
ROU,2012-06-29,,Baa3,,,Negative,
ROU,2013-11-22,BBB-,,,Positive,,
ROU,2014-04-25,,Baa3,,,Stable,
ROU,2014-05-16,BBB-,,,Stable,,
ROU,2015-12-11,,Baa3,,,Positive,
ROU,2016-01-22,,,BBB,,,Stable
ROU,2016-07-22,,,BBB-,,,Stable
ROU,2017-04-21,,Baa3,,,Stable,
ROU,2018-08-24,,Baa3,,,Stable,
ROU,2020-04-24,,Baa3,,,Negative,
ROU,2021-04-16,BBB-,,,Stable,,
ROU,2021-10-15,,Baa3,,,Stable,
ROU,2023-11-03,,Baa3,,,Stable,
ROU,2025-01-24,BBB-,,,Negative,,
ROU,2025-03-14,,Baa3,,,Negative,
# ── Angola ───────────────────────────────────────────────────────────────
AGO,2010-05-19,B,B1,B+,,Positive,Positive
AGO,2011-06-03,,Ba3,,,Stable,
AGO,2011-07-12,BB-,,,Stable,,
AGO,2012-05-23,,,BB-,,,
AGO,2012-08-22,,Ba2,,,Positive,
AGO,2014-08-08,,Ba2,,,Stable,
AGO,2015-02-13,B+,,,Stable,,
AGO,2015-03-03,,Ba2,,,Negative,
AGO,2015-08-14,B+,,,Negative,,
AGO,2015-09-25,,,B+,,,Stable
AGO,2016-02-12,B,,,Stable,,
AGO,2016-03-04,,Ba2,,,Watch,
AGO,2016-04-29,,B1,,,Negative,
AGO,2016-08-12,B,,,Negative,,
AGO,2016-09-23,,,B,,,Negative
AGO,2017-04-07,,B1,,,Negative,
AGO,2017-08-11,B-,,,Stable,,
AGO,2017-10-20,,B2,,,Stable,
AGO,2018-02-07,,B2,,,Watch,
AGO,2018-04-25,,,B,,,Stable
AGO,2018-04-27,,B3,,,Stable,
AGO,2019-02-08,CCC+,,,Negative,,
AGO,2020-03-06,,,B-,,,Stable
AGO,2020-03-26,CCC+,,,Stable,,
AGO,2020-03-31,,B3,,,Watch,
AGO,2020-09-04,,,CCC,,,
AGO,2020-09-08,,Caa1,,,Stable,
AGO,2021-09-13,,B3,,,Stable,
AGO,2022-01-21,,,B-,,,Stable
AGO,2022-02-04,B-,,,Stable,,
AGO,2022-10-20,,B3,,,Positive,
AGO,2024-11-29,,B3,,,Stable,
# ── Philippines ──────────────────────────────────────────────────────────
PHL,2010-11-12,BB,,,Stable,,
PHL,2011-06-15,,Ba2,,,Stable,
PHL,2012-07-04,BB+,,,Stable,,
PHL,2012-10-29,,Ba1,,,Stable,
PHL,2012-11-20,,,BBB-,,,Stable
PHL,2013-05-02,BBB-,,,Stable,,
PHL,2013-10-03,,Baa3,,,Positive,
PHL,2014-05-08,BBB,,,Stable,,
