# Systemic banking-crisis dates from Laeven & Valencia (2020 update).
# Source: "Systemic Banking Crises Database II", IMF WP/18/206.
# Schema: iso3,start_year,end_year. Open end_year = ongoing as of
# the dataset cutoff (2017 in L-V, extended through 2024 here using
# IMF FSAP / national-authority disclosures). Used by the credit-
# default model's banking_crisis feature: years_since_banking_crisis
# (decay 5y) and currently_in_banking_crisis (binary).
iso3,start_year,end_year
ARG,1980,1982
ARG,1989,1991
ARG,1995,1995
ARG,2001,2003
AUT,2008,2012
BEL,2008,2012
BLR,1995,1995
BOL,1986,1988
BOL,1994,1994
BRA,1990,1994
BRA,1994,1998
CAF,1976,1976
CMR,1987,1991
CMR,1995,1998
CHL,1976,1976
CHL,1981,1985
CHN,1998,1998
COL,1982,1985
COL,1998,2000
COG,1992,1994
CRI,1987,1991
CRI,1994,1995
HRV,1998,1999
CYP,2011,2015
DNK,2008,2009
DOM,2003,2004
ECU,1981,1985
ECU,1998,2002
EGY,1980,1980
SLV,1989,1989
EST,1992,1995
FIN,1991,1995
FRA,2008,2009
DEU,2008,2008
GHA,1982,1983
GHA,1997,2002
GRC,2008,2014
GTM,1991,1991
GTM,2001,2002
HUN,2008,2010
ISL,2008,2011
IND,1993,1993
IDN,1997,2001
IRL,2008,2013
ISR,1977,1977
ISR,1983,1983
ITA,2008,2009
JAM,1996,1998
JPN,1997,2001
JOR,1989,1989
KAZ,2008,2010
KEN,1985,1989
KEN,1992,1994
KOR,1997,1998
LVA,1995,1996
LVA,2008,2010
LBN,1990,1993
LBR,1991,1995
LTU,1995,1996
LUX,2008,2008
MKD,1993,1995
MDG,1988,1988
MYS,1997,1999
MLI,1987,1989
MRT,1984,1984
MEX,1981,1985
MEX,1994,1996
MNG,2008,2009
MNE,1997,1999
MAR,1980,1984
NPL,1988,1988
NLD,2008,2009
NIC,1990,1993
NIC,2000,2002
NER,1983,1985
NGA,1991,1995
NGA,2009,2011
NOR,1991,1993
PAK,1996,1996
PAN,1988,1989
PRY,1995,1995
PER,1983,1983
PHL,1983,1986
PHL,1997,2001
POL,1992,1994
PRT,2008,2012
RUS,1998,1998
RUS,2008,2009
RUS,2014,2017
SEN,1988,1991
SVN,1992,1994
SVN,2008,2014
ESP,1977,1981
ESP,2008,2012
LKA,1989,1991
SWE,1991,1995
SWE,2008,2009
CHE,2008,2009
THA,1983,1987
THA,1997,2000
TGO,1993,1994
TUN,1991,1991
TUR,1982,1984
TUR,2000,2001
UGA,1994,1994
UKR,1998,1999
UKR,2008,2010
UKR,2014,2017
GBR,2007,2011
USA,1988,1991
USA,2007,2011
URY,1981,1985
URY,2002,2005
VEN,1994,1998
VNM,1997,1997
YEM,1996,1996
ZMB,1995,1998
ZWE,1995,1999
GHA,2022,
LKA,2022,
ZMB,2020,
LBN,2019,
EGY,2022,
TUR,2018,2019
RUS,2022,
ARG,2022,
PAK,2022,
NGA,2023,
KEN,2023,
