# Country x sector relative book weights (% of country book).
# Replace with your actual credit-lines exposure breakdown.
# Sovereign row represents pure country/sovereign risk lines.
iso3,sector,book_weight_pct
USA,Sovereign,15
USA,Oil_Gas,10
USA,Metals_Mining,5
USA,Agribusiness,5
USA,Utilities,8
USA,Transportation,5
USA,Chemicals,5
USA,Financials,18
USA,Manufacturing,12
USA,Consumer,15
CAN,Sovereign,15
CAN,Oil_Gas,18
CAN,Metals_Mining,12
CAN,Agribusiness,5
CAN,Utilities,5
CAN,Transportation,5
CAN,Chemicals,5
CAN,Financials,15
CAN,Manufacturing,8
CAN,Consumer,5
MEX,Sovereign,15
MEX,Oil_Gas,15
MEX,Metals_Mining,5
MEX,Agribusiness,5
MEX,Utilities,5
MEX,Transportation,5
MEX,Chemicals,5
MEX,Financials,10
MEX,Manufacturing,18
MEX,Consumer,10
GBR,Sovereign,15
GBR,Oil_Gas,8
GBR,Metals_Mining,5
GBR,Agribusiness,5
GBR,Utilities,8
GBR,Transportation,5
GBR,Chemicals,5
GBR,Financials,22
GBR,Manufacturing,5
GBR,Consumer,12
FRA,Sovereign,15
FRA,Oil_Gas,5
FRA,Metals_Mining,5
FRA,Agribusiness,5
FRA,Utilities,10
FRA,Transportation,5
FRA,Chemicals,5
FRA,Financials,15
FRA,Manufacturing,15
FRA,Consumer,12
DEU,Sovereign,15
DEU,Oil_Gas,5
DEU,Metals_Mining,5
DEU,Agribusiness,5
DEU,Utilities,8
DEU,Transportation,5
DEU,Chemicals,15
DEU,Financials,12
DEU,Manufacturing,25
DEU,Consumer,5
ITA,Sovereign,15
ITA,Oil_Gas,5
ITA,Metals_Mining,5
ITA,Agribusiness,5
ITA,Utilities,8
ITA,Transportation,5
ITA,Chemicals,5
ITA,Financials,12
ITA,Manufacturing,18
ITA,Consumer,12
ESP,Sovereign,15
ESP,Oil_Gas,5
ESP,Metals_Mining,5
ESP,Agribusiness,5
ESP,Utilities,12
ESP,Transportation,5
ESP,Chemicals,5
ESP,Financials,15
ESP,Manufacturing,12
ESP,Consumer,10
NLD,Sovereign,15
NLD,Oil_Gas,8
NLD,Metals_Mining,5
NLD,Agribusiness,5
NLD,Utilities,5
NLD,Transportation,12
NLD,Chemicals,12
NLD,Financials,18
NLD,Manufacturing,5
NLD,Consumer,5
CHE,Sovereign,15
CHE,Oil_Gas,5
CHE,Metals_Mining,5
CHE,Agribusiness,5
CHE,Utilities,5
CHE,Transportation,5
CHE,Chemicals,12
CHE,Financials,25
CHE,Manufacturing,15
CHE,Consumer,5
SWE,Sovereign,15
SWE,Oil_Gas,5
SWE,Metals_Mining,10
SWE,Agribusiness,5
SWE,Utilities,5
SWE,Transportation,5
SWE,Chemicals,5
SWE,Financials,12
SWE,Manufacturing,15
SWE,Consumer,5
NOR,Sovereign,15
NOR,Oil_Gas,30
NOR,Metals_Mining,5
NOR,Agribusiness,5
NOR,Utilities,10
NOR,Transportation,5
NOR,Chemicals,5
NOR,Financials,12
NOR,Manufacturing,5
NOR,Consumer,5
POL,Sovereign,15
POL,Oil_Gas,5
POL,Metals_Mining,5
POL,Agribusiness,10
POL,Utilities,10
POL,Transportation,5
POL,Chemicals,5
POL,Financials,10
POL,Manufacturing,15
POL,Consumer,5
RUS,Sovereign,15
RUS,Oil_Gas,25
RUS,Metals_Mining,12
RUS,Agribusiness,5
RUS,Utilities,10
RUS,Transportation,5
RUS,Chemicals,5
RUS,Financials,5
RUS,Manufacturing,5
RUS,Consumer,5
TUR,Sovereign,15
TUR,Oil_Gas,5
TUR,Metals_Mining,5
TUR,Agribusiness,5
TUR,Utilities,5
TUR,Transportation,10
TUR,Chemicals,5
TUR,Financials,12
TUR,Manufacturing,15
TUR,Consumer,10
SAU,Sovereign,15
SAU,Oil_Gas,35
SAU,Metals_Mining,5
SAU,Agribusiness,5
SAU,Utilities,8
SAU,Transportation,5
SAU,Chemicals,5
SAU,Financials,10
SAU,Manufacturing,5
SAU,Consumer,5
ARE,Sovereign,15
ARE,Oil_Gas,25
ARE,Metals_Mining,5
ARE,Agribusiness,5
ARE,Utilities,5
ARE,Transportation,10
ARE,Chemicals,5
ARE,Financials,15
ARE,Manufacturing,5
ARE,Consumer,5
QAT,Sovereign,15
QAT,Oil_Gas,35
QAT,Metals_Mining,5
QAT,Agribusiness,5
QAT,Utilities,8
QAT,Transportation,5
QAT,Chemicals,5
QAT,Financials,12
QAT,Manufacturing,5
QAT,Consumer,5
KAZ,Sovereign,15
KAZ,Oil_Gas,25
KAZ,Metals_Mining,15
KAZ,Agribusiness,8
KAZ,Utilities,5
KAZ,Transportation,5
KAZ,Chemicals,5
KAZ,Financials,5
KAZ,Manufacturing,5
KAZ,Consumer,5
ZAF,Sovereign,15
ZAF,Oil_Gas,5
ZAF,Metals_Mining,20
ZAF,Agribusiness,5
ZAF,Utilities,8
ZAF,Transportation,5
ZAF,Chemicals,5
ZAF,Financials,12
ZAF,Manufacturing,8
ZAF,Consumer,5
NGA,Sovereign,15
NGA,Oil_Gas,30
NGA,Metals_Mining,5
NGA,Agribusiness,10
NGA,Utilities,5
NGA,Transportation,5
NGA,Chemicals,5
NGA,Financials,10
NGA,Manufacturing,5
NGA,Consumer,5
EGY,Sovereign,15
EGY,Oil_Gas,5
EGY,Metals_Mining,5
EGY,Agribusiness,5
EGY,Utilities,12
EGY,Transportation,5
EGY,Chemicals,5
EGY,Financials,10
EGY,Manufacturing,10
EGY,Consumer,10
CHN,Sovereign,15
CHN,Oil_Gas,5
CHN,Metals_Mining,5
CHN,Agribusiness,5
CHN,Utilities,10
CHN,Transportation,5
CHN,Chemicals,5
CHN,Financials,15
CHN,Manufacturing,22
CHN,Consumer,10
JPN,Sovereign,15
JPN,Oil_Gas,5
JPN,Metals_Mining,5
JPN,Agribusiness,5
JPN,Utilities,5
JPN,Transportation,8
JPN,Chemicals,5
JPN,Financials,15
JPN,Manufacturing,22
JPN,Consumer,12
KOR,Sovereign,15
KOR,Oil_Gas,5
KOR,Metals_Mining,5
KOR,Agribusiness,5
KOR,Utilities,5
KOR,Transportation,5
KOR,Chemicals,10
KOR,Financials,12
KOR,Manufacturing,25
KOR,Consumer,5
IND,Sovereign,15
IND,Oil_Gas,5
IND,Metals_Mining,5
IND,Agribusiness,8
IND,Utilities,8
IND,Transportation,5
IND,Chemicals,5
IND,Financials,15
IND,Manufacturing,12
IND,Consumer,12
IDN,Sovereign,15
IDN,Oil_Gas,12
IDN,Metals_Mining,12
IDN,Agribusiness,12
IDN,Utilities,5
IDN,Transportation,5
IDN,Chemicals,5
IDN,Financials,10
IDN,Manufacturing,5
IDN,Consumer,10
AUS,Sovereign,15
AUS,Oil_Gas,8
AUS,Metals_Mining,22
AUS,Agribusiness,8
AUS,Utilities,5
AUS,Transportation,5
AUS,Chemicals,5
AUS,Financials,18
AUS,Manufacturing,5
AUS,Consumer,5
THA,Sovereign,15
THA,Oil_Gas,5
THA,Metals_Mining,5
THA,Agribusiness,5
THA,Utilities,5
THA,Transportation,10
THA,Chemicals,5
THA,Financials,10
THA,Manufacturing,18
THA,Consumer,12
MYS,Sovereign,15
MYS,Oil_Gas,15
MYS,Metals_Mining,5
MYS,Agribusiness,10
MYS,Utilities,5
MYS,Transportation,5
MYS,Chemicals,5
MYS,Financials,12
MYS,Manufacturing,15
MYS,Consumer,5
VNM,Sovereign,15
VNM,Oil_Gas,5
VNM,Metals_Mining,5
VNM,Agribusiness,10
VNM,Utilities,5
VNM,Transportation,5
VNM,Chemicals,5
VNM,Financials,5
VNM,Manufacturing,22
VNM,Consumer,12
PHL,Sovereign,15
PHL,Oil_Gas,5
PHL,Metals_Mining,5
PHL,Agribusiness,5
PHL,Utilities,8
PHL,Transportation,5
PHL,Chemicals,5
PHL,Financials,15
PHL,Manufacturing,10
PHL,Consumer,15
BRA,Sovereign,15
BRA,Oil_Gas,10
BRA,Metals_Mining,10
BRA,Agribusiness,18
BRA,Utilities,8
BRA,Transportation,5
BRA,Chemicals,5
BRA,Financials,15
BRA,Manufacturing,5
BRA,Consumer,5
ARG,Sovereign,15
ARG,Oil_Gas,10
ARG,Metals_Mining,5
ARG,Agribusiness,25
ARG,Utilities,5
ARG,Transportation,5
ARG,Chemicals,5
ARG,Financials,10
ARG,Manufacturing,5
ARG,Consumer,10
CHL,Sovereign,15
CHL,Oil_Gas,5
CHL,Metals_Mining,30
CHL,Agribusiness,5
CHL,Utilities,8
CHL,Transportation,5
CHL,Chemicals,5
CHL,Financials,15
CHL,Manufacturing,5
CHL,Consumer,5
PER,Sovereign,15
