# Sovereign default / restructuring events from the Bank of Canada CRAG
# database. Auto-generated by scripts/fetch_crag_defaults.py.
# Schema matches what backend/credit_default/defaults.py expects.
iso3,start_year,end_year,event_type,instrument,source,notes
AFG,2006,2010,paris_club,paris_club,CRAG,BoC creditor: Paris Club
AFG,2022,,paris_club,paris_club,CRAG,BoC creditor: Paris Club
AFG,2004,2004,paris_club,paris_club,CRAG,BoC creditor: China
AFG,1964,1966,paris_club,paris_club,CRAG,BoC creditor: Other official creditors
AFG,1972,1972,paris_club,paris_club,CRAG,BoC creditor: Other official creditors
AFG,1976,1976,paris_club,paris_club,CRAG,BoC creditor: Other official creditors
AFG,1980,1986,paris_club,paris_club,CRAG,BoC creditor: Other official creditors
AFG,1993,1993,paris_club,paris_club,CRAG,BoC creditor: Other official creditors
AFG,1998,1998,paris_club,paris_club,CRAG,BoC creditor: Other official creditors
AFG,2000,2000,paris_club,paris_club,CRAG,BoC creditor: Other official creditors
AFG,2006,,paris_club,paris_club,CRAG,BoC creditor: Other official creditors
AFG,1992,2004,restructuring,bank_loan,CRAG,BoC creditor: Other private creditors
AFG,2006,2009,restructuring,bank_loan,CRAG,BoC creditor: Other private creditors
AFG,1991,1995,arrears,domestic,CRAG,BoC creditor: Domestic arrears
AFG,2001,2001,arrears,domestic,CRAG,BoC creditor: Domestic arrears
AFG,2003,2004,arrears,domestic,CRAG,BoC creditor: Domestic arrears
AFG,2006,,arrears,domestic,CRAG,BoC creditor: Domestic arrears
ALB,1993,1993,paris_club,paris_club,CRAG,BoC creditor: Paris Club
ALB,1998,1998,paris_club,paris_club,CRAG,BoC creditor: Paris Club
ALB,2003,2003,paris_club,paris_club,CRAG,BoC creditor: Paris Club
ALB,1994,2001,paris_club,paris_club,CRAG,BoC creditor: China
ALB,1990,1990,paris_club,paris_club,CRAG,BoC creditor: Other official creditors
ALB,1992,2003,paris_club,paris_club,CRAG,BoC creditor: Other official creditors
ALB,2006,2009,paris_club,paris_club,CRAG,BoC creditor: Other official creditors
ALB,2013,2013,paris_club,paris_club,CRAG,BoC creditor: Other official creditors
ALB,2017,2017,paris_club,paris_club,CRAG,BoC creditor: Other official creditors
ALB,2019,2019,paris_club,paris_club,CRAG,BoC creditor: Other official creditors
ALB,1991,1995,restructuring,bank_loan,CRAG,BoC creditor: FC bank loans
ALB,1990,2007,restructuring,bank_loan,CRAG,BoC creditor: Other private creditors
