# Structural risk overlay — factors the macro-only model can't capture.
#
# Each column is a boolean (Y/N) or magnitude. The overlay module applies a
# small notch penalty per active flag; totals are capped at +6 notches so a
# country with every risk flag active can move at most 6 grades from the
# base model rating.
#
# Notch adjustments (defined in structural_overlay.py):
#   sids                  = +2 notches   (small-island economy — hurricanes,
#                                          tourism concentration, thin export
#                                          base)
#   lldc                  = +1 notch     (landlocked — freight-cost premium,
#                                          single-corridor dependence)
#   active_conflict       = +3 notches   (ongoing civil war, active border war
#                                          or occupation)
#   political_shock_recent= +2 notches   (coup / regime change / mass violence
#                                          against govt within the last 18mo)
#   export_conc_high      = +1 notch     (>50% of goods exports in one HS-2
#                                          chapter OR >30% GDP in tourism)
#
# Columns:
#   iso3                     — ISO-3 sovereign code
#   sids                     — Y/N (UN SIDS list)
#   lldc                     — Y/N (UN LLDC list)
#   active_conflict          — Y/N
#   political_shock_recent   — Y/N (rolled off if >18mo since event)
#   export_conc_high         — Y/N
#   notes                    — free text; kept for audit
#
# Updated by hand; refresh quarterly. This file is a display/qualitative
# overlay, NOT a fitting target. Base model rating stays exactly as fitted;
# the overlay is applied on top and shown separately in the UI so
# underwriters can see the raw model call AND the structural-adjusted call.
iso3,sids,lldc,active_conflict,political_shock_recent,export_conc_high,notes
ATG,Y,N,N,N,Y,SIDS + tourism (>50% GDP); hurricane exposure
BHS,Y,N,N,N,Y,SIDS + tourism concentration
BRB,Y,N,N,N,Y,SIDS + tourism concentration
BLZ,Y,N,N,N,Y,SIDS + tourism concentration
CPV,Y,N,N,N,Y,SIDS + tourism/remittance
COM,Y,N,N,N,Y,SIDS + vanilla/clove single-crop
DMA,Y,N,N,N,Y,SIDS + banana concentration
DOM,Y,N,N,N,N,SIDS
FJI,Y,N,N,N,Y,SIDS + tourism/sugar
GRD,Y,N,N,N,Y,SIDS + nutmeg/tourism
GNB,Y,N,N,N,Y,SIDS + cashew single-crop
GUY,Y,N,N,N,Y,SIDS + oil concentration (post-2020)
HTI,Y,N,N,Y,N,SIDS + gang-driven insecurity 2024-
JAM,Y,N,N,N,Y,SIDS + tourism/bauxite
MDV,Y,N,N,N,Y,SIDS + tourism (>50% GDP)
MUS,Y,N,N,N,N,SIDS
PNG,Y,N,N,N,Y,SIDS + LNG/mining concentration
WSM,Y,N,N,N,Y,SIDS + remittance
STP,Y,N,N,N,Y,SIDS + cocoa
SYC,Y,N,N,N,Y,SIDS + tourism/tuna
SLB,Y,N,N,N,Y,SIDS + timber/fisheries
KNA,Y,N,N,N,Y,SIDS + tourism
